iter	Passed	Remaining
344	2105	3998
345	2111	3990
346	2117	3984
347	2122	3977
348	2128	3969
349	2134	3963
350	2140	3957
351	2146	3950
352	2151	3942
353	2156	3935
354	2161	3927
355	2167	3920
356	2172	3913
357	2178	3906
358	2184	3900
359	2189	3893
360	2195	3886
361	2201	3879
362	2206	3872
363	2212	3865
364	2217	3857
365	2226	3857
366	2235	3856
367	2245	3856
368	2254	3856
369	2263	3854
370	2272	3853
371	2278	3847
372	2285	3842
373	2296	3843
374	2303	3839
375	2309	3833
376	2315	3826
377	2321	3820
378	2328	3814
379	2334	3808
380	2339	3801
381	2345	3794
382	2351	3788
383	2357	3781
384	2363	3775
385	2368	3768
386	2374	3761
387	2380	3754
388	2386	3747
389	2391	3741
390	2397	3734
391	2403	3727
392	2409	3721
393	2414	3713
394	2421	3708
395	2427	3701
396	2432	3694
397	2438	3688
398	2443	3681
399	2449	3673
400	2455	3667
401	2460	3660
402	2465	3652
403	2470	3645
404	2476	3638
405	2481	3631
406	2487	3623
407	2493	3617
408	2498	3611
409	2504	3604
410	2510	3597
411	2515	3590
412	2521	3584
413	2527	3577
414	2533	3570
415	2539	3564
416	2545	3558
417	2551	3552
418	2556	3545
419	2562	3538
420	2568	3531
421	2574	3526
422	2579	3518
423	2585	3512
424	2591	3505
425	2596	3499
426	2602	3492
427	2608	3486
428	2614	3479
429	2619	3472
430	2625	3466
431	2630	3459
432	2636	3452
433	2641	3445
434	2647	3438
435	2652	3431
436	2658	3424
437	2663	3417
438	2668	3410
439	2674	3404
440	2679	3397
441	2685	3390
442	2691	3384
443	2696	3377
444	2702	3370
445	2707	3363
446	2713	3356
447	2719	3350
448	2724	3344
449	2730	3337
450	2735	3330
451	2740	3323
452	2747	3317
453	2752	3310
454	2758	3304
455	2764	3298
456	2770	3291
457	2776	3285
458	2781	3278
459	2787	3272
460	2793	3265
461	2798	3259
462	2804	3252
463	2810	3246
464	2815	3239
465	2821	3233
466	2827	3227
467	2833	3221
468	2839	3214
469	2844	3207
470	2850	3201
471	2855	3194
472	2861	3187
473	2866	3181
474	2872	3174
475	2877	3167
476	2883	3161
477	2889	3155
478	2894	3148
479	2900	3142
480	2906	3136
481	2911	3129
482	2917	3122
483	2923	3116
484	2929	3110
485	2934	3103
486	2940	3097
487	2946	3091
488	2951	3084
489	2957	3078
490	2963	3072
491	2968	3065
492	2973	3058
493	2979	3051
494	2984	3045
495	2990	3038
496	2996	3032
497	3001	3026
498	3007	3019
499	3012	3012
500	3018	3006
501	3024	3000
502	3030	2994
503	3036	2988
504	3042	2981
505	3047	2974
506	3053	2968
507	3058	2962
508	3064	2956
509	3070	2949
510	3075	2943
511	3080	2936
512	3086	2930
513	3092	2923
514	3098	2917
515	3103	2910
516	3108	2903
517	3114	2898
518	3119	2891
519	3125	2885
520	3131	2878
521	3136	2872
522	3141	2865
523	3147	2858
524	3152	2852
525	3158	2846
526	3164	2839
527	3169	2833
528	3174	2826
529	3180	2820
530	3185	2813
531	3190	2807
532	3196	2800
533	3201	2794
534	3207	2787
535	3213	2781
536	3218	2775
537	3224	2768
538	3230	2762
539	3235	2756
540	3241	2750
541	3247	2743
542	3252	2737
543	3258	2731
544	3264	2725
545	3269	2718
546	3275	2712
547	3280	2705
548	3286	2699
549	3292	2693
550	3297	2687
551	3303	2681
552	3308	2674
553	3314	2668
554	3320	2662
555	3325	2655
556	3331	2649
557	3337	2643
558	3342	2637
559	3348	2631
560	3354	2624
561	3360	2618
562	3365	2612
563	3371	2606
564	3377	2600
565	3382	2593
566	3387	2587
567	3393	2580
568	3399	2574
569	3405	2568
570	3410	2562
571	3416	2556
572	3421	2549
573	3427	2543
574	3432	2537
575	3438	2531
576	3444	2525
577	3450	2519
578	3455	2512
579	3461	2506
580	3466	2500
581	3472	2494
582	3479	2488
583	3484	2482
584	3490	2476
585	3496	2469
586	3501	2463
587	3508	2458
588	3514	2452
589	3520	2446
590	3525	2439
591	3531	2433
592	3536	2427
593	3542	2421
594	3547	2414
595	3553	2408
596	3559	2402
597	3564	2396
598	3570	2390
599	3575	2383
600	3581	2377
601	3586	2371
602	3592	2365
603	3598	2359
604	3604	2353
605	3609	2346
606	3615	2340
607	3621	2334
608	3626	2328
609	3632	2322
610	3637	2315
611	3643	2309
612	3649	2304
613	3655	2297
614	3660	2291
615	3666	2285
616	3671	2279
617	3677	2273
618	3683	2266
619	3689	2261
620	3694	2254
621	3700	2248
622	3705	2242
623	3712	2236
624	3717	2230
625	3723	2224
626	3728	2218
627	3733	2211
628	3739	2205
629	3746	2200
630	3752	2194
631	3758	2188
632	3764	2182
633	3769	2176
634	3775	2170
635	3780	2163
636	3786	2157
637	3791	2151
638	3797	2145
639	3802	2138
640	3807	2132
641	3813	2126
642	3819	2120
643	3825	2114
644	3830	2108
645	3836	2102
646	3841	2096
647	3847	2090
648	3853	2084
649	3859	2078
650	3864	2071
651	3870	2065
652	3876	2059
653	3881	2053
654	3887	2047
655	3893	2041
656	3898	2035
657	3904	2029
658	3909	2023
659	3915	2017
660	3921	2011
661	3927	2005
662	3932	1998
663	3937	1992
664	3943	1986
665	3949	1980
666	3955	1974
667	3960	1968
668	3965	1962
669	3971	1956
670	3977	1949
671	3982	1944
672	3988	1937
673	3993	1931
674	3999	1925
675	4005	1919
676	4010	1913
677	4016	1907
678	4021	1901
679	4026	1894
680	4032	1889
681	4038	1883
682	4044	1877
683	4050	1871
684	4056	1865
685	4062	1859
686	4067	1853
687	4073	1847
688	4078	1841
689	4084	1835
690	4089	1828
691	4095	1822
692	4100	1816
693	4106	1810
694	4112	1804
695	4117	1798
696	4123	1792
697	4128	1786
698	4134	1780
699	4139	1774
700	4146	1768
701	4151	1762
702	4157	1756
703	4162	1750
704	4168	1744
705	4174	1738
706	4179	1732
707	4185	1726
708	4191	1720
709	4197	1714
710	4203	1708
711	4208	1702
712	4214	1696
713	4220	1690
714	4225	1684
715	4230	1678
716	4236	1672
717	4242	1666
718	4247	1660
719	4253	1654
720	4259	1648
721	4266	1642
722	4272	1636
723	4278	1630
724	4284	1624
725	4290	1619
726	4295	1613
727	4302	1607
728	4308	1601
729	4313	1595
730	4319	1589
731	4325	1583
732	4331	1577
733	4337	1571
734	4343	1565
735	4349	1559
736	4355	1554
737	4361	1548
738	4367	1542
739	4373	1536
740	4380	1531
741	4386	1525
742	4393	1519
743	4399	1513
744	4406	1508
745	4412	1502
746	4418	1496
747	4424	1490
748	4430	1484
749	4437	1479
750	4443	1473
751	4449	1467
752	4455	1461
753	4461	1455
754	4467	1449
755	4473	1443
756	4479	1437
757	4484	1431
758	4490	1425
759	4497	1420
760	4502	1414
761	4509	1408
762	4514	1402
763	4520	1396
764	4527	1390
765	4532	1384
766	4538	1378
767	4544	1372
768	4550	1367
769	4556	1361
770	4562	1355
771	4569	1349
772	4575	1343
773	4582	1337
774	4587	1331
775	4593	1325
776	4599	1320
777	4605	1314
778	4612	1308
779	4618	1302
780	4625	1296
781	4630	1290
782	4637	1285
783	4643	1279
784	4650	1273
785	4656	1267
786	4663	1262
787	4670	1256
788	4676	1250
789	4682	1244
790	4689	1239
791	4696	1233
792	4702	1227
793	4708	1221
794	4714	1215
795	4721	1209
796	4727	1204
797	4734	1198
798	4740	1192
799	4747	1186
800	4753	1180
801	4759	1174
802	4765	1169
803	4771	1163
804	4777	1157
805	4784	1151
806	4790	1145
807	4796	1139
808	4803	1134
809	4809	1128
810	4816	1122
811	4822	1116
812	4828	1110
813	4834	1104
814	4840	1098
815	4846	1092
816	4852	1086
817	4858	1081
818	4864	1075
819	4871	1069
820	4876	1063
821	4882	1057
822	4888	1051
823	4894	1045
824	4901	1039
825	4907	1033
826	4914	1028
827	4920	1022
828	4926	1016
829	4933	1010
830	4939	1004
831	4945	998
832	4951	992
833	4958	986
834	4964	981
835	4971	975
836	4977	969
837	4984	963
838	4990	957
839	4996	951
840	5002	945
841	5008	939
842	5014	933
843	5020	927
844	5026	921
845	5032	916
846	5038	910
847	5044	904
848	5051	898
849	5057	892
850	5063	886
851	5070	880
852	5076	874
853	5083	869
854	5089	863
855	5095	857
856	5101	851
857	5107	845
858	5112	839
859	5118	833
860	5125	827
861	5131	821
862	5137	815
863	5144	809
864	5150	803
865	5156	797
866	5163	792
867	5169	786
868	5176	780
869	5182	774
870	5188	768
871	5194	762
872	5200	756
873	5206	750
874	5212	744
875	5219	738
876	5224	732
877	5230	726
878	5236	720
879	5242	714
880	5249	709
881	5255	703
882	5261	697
883	5268	691
884	5274	685
885	5280	679
886	5286	673
887	5292	667
888	5298	661
889	5305	655
890	5311	649
891	5317	643
892	5323	637
893	5329	631
894	5335	625
895	5341	620
896	5347	614
897	5353	608
898	5360	602
899	5366	596
900	5372	590
901	5379	584
902	5385	578
903	5391	572
904	5397	566
905	5403	560
906	5409	554
907	5415	548
908	5421	542
909	5428	536
910	5434	530
911	5440	524
912	5447	519
913	5453	513
914	5459	507
915	5466	501
916	5472	495
917	5479	489
918	5486	483
919	5492	477
920	5498	471
921	5504	465
922	5509	459
923	5515	453
924	5521	447
925	5527	441
926	5533	435
927	5539	429
928	5545	423
929	5550	417
930	5556	411
931	5562	405
932	5568	399
933	5574	393
934	5580	387
935	5585	381
936	5591	375
937	5597	369
938	5603	364
939	5608	358
940	5615	352
941	5621	346
942	5627	340
943	5633	334
944	5639	328
945	5645	322
946	5651	316
947	5657	310
948	5663	304
949	5669	298
950	5675	292
951	5681	286
952	5688	280
953	5694	274
954	5699	268
955	5705	262
956	5711	256
957	5717	250
958	5723	244
959	5728	238
960	5734	232
961	5739	226
962	5745	220
963	5751	214
964	5756	208
965	5761	202
966	5767	196
967	5773	190
968	5779	184
969	5785	178
970	5790	172
971	5796	166
972	5802	161
973	5808	155
974	5813	149
975	5819	143
976	5825	137
977	5830	131
978	5836	125
979	5841	119
980	5847	113
981	5853	107
982	5859	101
983	5863	95
984	5869	89
985	5875	83
986	5880	77
987	5886	71
988	5892	65
989	5897	59
990	5902	53
991	5908	47
992	5914	41
993	5919	35
994	5925	29
995	5930	23
996	5936	17
997	5942	11
998	5947	5
999	5953	0
